Neighborhood,Id,MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,MoSold,SaleType,SaleCondition,FixedLotFrontage,FixedLotArea,FixedMasVnrArea,FixedTotalBsmtSF,Fixed1stFlrSF,Fixed2ndFlrSF,FixedLowQualFinSF,FixedGrLivArea,FixedBsmtFullBath,FixedBsmtHalfBath,FixedFullBath,FixedHalfBath,FixedBedroomAbvGr,FixedKitchenAbvGr,FixedTotRmsAbvGrd,FixedFireplaces,FixedGarageYrBlt,FixedGarageCars,FixedGarageArea,FixedWoodDeckSF,FixedOpenPorchSF,FixedEnclosedPorch,Fixed3SsnPorch,FixedScreenPorch,FixedPoolArea,FixedMiscVal,FixedYrSold,FixedSalePrice,YearsSinceBuilt,YearsSinceRemodel,SafetyScore,BicycleFriendlyScore,WalkabilityScore,SchoolingScore,HouseholdIncomeScore,DesirabilityScore
Sawyer,715,60,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,RRAe,Norm,1Fam,2Story,6,8,Gable,CompShg,HdBoard,Plywood,BrkFace,Gd,TA,CBlock,TA,TA,No,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,3,WD,Normal,69,13517,289,725,725,754,0,1479,0,0,2,1,3,1,6,0,1976,2,475,0,44,0,0,0,0,0,2010,130500,34,5,3,2,1,2,2,1
NWAmes,716,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,No,GasA,TA,Y,null,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,MnPrv,NA,8,WD,Normal,78,10140,174,1064,1350,0,0,1350,0,0,2,0,3,1,7,1,1974,2,478,0,0,0,0,0,0,0,2009,165000,35,35,3,2,1,1,3,3
OldTown,717,70,RM,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,8,Gable,CompShg,Wd Sdng,VinylSd,None,TA,Gd,BrkTil,TA,TA,No,GasA,Ex,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,P,NA,NA,NA,7,WD,Normal,60,10800,0,718,1576,978,0,2554,0,0,1,1,3,1,8,0,1996,2,704,0,48,143,0,0,0,0,2007,159500,117,9,1,4,2,4,2,1
NWAmes,718,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,No,GasA,Gd,Y,null,Gd,Typ,Fa,Attchd,Unf,TA,TA,Y,NA,MnPrv,NA,11,WD,Normal,80,10000,0,1176,1178,0,0,1178,0,1,1,1,3,1,5,1,1973,2,439,224,0,0,0,0,0,0,2008,157000,35,8,3,2,1,1,3,3
NoRidge,719,60,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GasA,Ex,Y,null,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,8,WD,Normal,96,10542,651,1311,1325,1093,0,2418,1,0,2,1,3,1,9,1,1993,3,983,250,154,216,0,0,0,0,2008,341000,15,14,3,2,1,5,3,3
CollgCr,720,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,Gd,TA,Gd,GasA,TA,Y,null,TA,Typ,Po,Attchd,Unf,TA,TA,Y,NA,NA,NA,5,WD,Normal,69,9920,0,971,971,0,0,971,0,0,1,1,3,1,5,1,1969,1,300,0,0,0,0,0,0,0,2006,128500,37,37,3,1,1,3,2,3
StoneBr,721,120,RL,Pave,NA,IR1,Low,AllPub,CulDSac,Mod,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,Gd,TA,Gd,GasA,TA,Y,null,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,12,WD,Normal,69,6563,0,1742,1742,0,0,1742,1,0,2,0,2,1,5,1,1985,2,564,114,28,234,0,0,0,0,2006,275000,21,21,3,3,1,1,3,3
CollgCr,722,120,RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,5,WD,Normal,69,4426,169,848,848,0,0,848,1,0,1,0,1,1,3,0,2004,2,420,160,0,0,0,0,0,0,2010,143000,6,6,3,1,1,3,2,3
NAmes,723,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,4,7,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,GasA,Ex,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,7,WD,Normal,70,8120,0,864,864,0,0,864,0,0,1,0,3,1,5,0,1994,2,463,0,0,0,0,0,0,0,2009,124500,39,39,3,2,1,4,2,2
Edwards,724,50,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,4,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,PConc,TA,TA,No,GasA,Ex,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,5,WD,Normal,60,8172,0,941,997,473,0,1470,0,0,2,0,4,1,7,0,1958,1,548,0,0,0,0,156,0,0,2008,135000,54,36,2,2,2,3,2,1
Edwards,725,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,CemntBd,CmentBd,Stone,Ex,TA,PConc,Ex,TA,No,GasA,Ex,Y,null,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,NA,NA,NA,2,WD,Normal,86,13286,340,1698,1698,0,0,1698,1,0,2,0,3,1,8,1,2007,3,768,327,64,0,0,0,0,0,2009,320000,2,1,2,2,2,3,2,1
NAmes,726,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,4,6,Gable,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,GasA,TA,Y,null,Gd,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,Shed,11,WD,Normal,60,6960,0,864,864,0,0,864,0,0,1,0,3,1,5,0,1989,2,660,96,0,0,0,0,0,500,2009,120500,39,39,3,2,1,4,2,2
Crawfor,727,20,RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,6,9,Hip,CompShg,Wd Sdng,Plywood,BrkFace,Gd,Gd,CBlock,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,NA,NA,NA,12,WD,Normal,69,21695,260,880,1680,0,0,1680,1,0,2,0,3,1,5,1,1988,2,540,292,44,0,182,0,0,0,2009,222000,21,2,2,4,4,4,2,3
CollgCr,728,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,2,WD,Normal,64,7314,82,1232,1232,0,0,1232,1,0,2,0,2,1,6,0,2007,2,632,132,0,0,0,0,0,0,2009,194500,2,2,3,1,1,3,2,3
NAmes,729,90,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,Duplex,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,CBlock,TA,TA,No,GasA,TA,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,7,COD,Abnorml,85,11475,95,1584,1776,0,0,1776,1,0,2,0,4,2,9,0,1968,3,888,0,25,0,0,0,0,0,2009,110000,51,51,3,2,1,4,2,2
IDOTRR,730,30,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,4,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,GasA,TA,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,1,WD,Normal,52,6240,0,780,848,0,360,1208,0,0,1,0,2,1,5,0,1962,2,539,0,23,112,0,0,0,0,2009,103000,84,59,1,2,2,4,1,1
StoneBr,731,120,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,3,WD,Normal,39,5389,0,1595,1616,0,0,1616,1,0,2,0,2,1,5,1,1995,2,608,237,152,0,0,0,0,0,2010,236500,15,14,3,3,1,1,3,3
Timber,732,80,RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,SLvl,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,GasA,Ex,Y,null,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,NA,NA,NA,5,WD,Normal,73,9590,442,868,1146,0,0,1146,1,0,2,0,3,1,6,1,2003,2,438,160,22,0,0,0,0,0,2007,187500,4,4,3,2,1,4,3,3
CollgCr,733,60,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GasA,Ex,Y,null,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,NA,NA,NA,7,WD,Normal,75,11404,202,1153,1153,878,0,2031,0,0,2,1,3,1,8,1,1998,2,541,192,84,0,0,0,0,0,2008,222500,10,9,3,1,1,3,2,3
Sawyer,734,20,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Feedr,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,GasA,Ex,Y,null,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,GdWo,Shed,3,WD,Normal,80,10000,0,864,1144,0,0,1144,1,0,1,0,3,1,6,1,1961,1,264,165,0,0,0,0,0,400,2009,131400,48,26,3,2,1,2,2,1
Sawyer,735,20,RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,Plywood,Plywood,None,TA,TA,PConc,TA,TA,No,GasA,TA,Y,null,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,NA,NA,5,WD,Family,69,8978,0,948,948,0,0,948,0,0,1,0,3,1,6,0,1968,1,300,147,0,0,0,0,0,0,2007,108000,39,39,3,2,1,2,2,1
OldTown,736,75,RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,Gd,TA,Mn,GasW,Fa,N,null,TA,Typ,TA,Detchd,Unf,TA,TA,N,NA,NA,NA,10,WD,Normal,60,10800,0,880,880,888,0,1768,0,0,1,1,2,1,6,2,1914,2,320,0,341,0,0,0,0,0,2006,163000,92,36,1,4,2,4,2,1
NAmes,737,90,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,3,4,Gable,CompShg,Stucco,Stone,None,TA,TA,CBlock,NA,NA,NA,GasA,Gd,N,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,7,WD,Normal,60,8544,0,0,1040,0,0,1040,0,0,2,0,2,2,6,0,1949,2,400,0,0,0,0,0,0,0,2006,93500,56,56,3,2,1,4,2,2
Gilbert,738,60,RL,Pave,NA,IR1,HLS,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,NA,NA,NA,6,WD,Normal,72,10463,0,893,901,900,0,1801,0,0,2,1,3,1,8,1,2005,3,800,0,116,0,0,0,0,0,2006,239900,1,1,3,3,1,4,3,3
Edwards,739,90,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,5,5,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,Gd,Gd,Gd,GasA,TA,Y,null,TA,Typ,NA,NA,NA,NA,NA,Y,NA,NA,NA,3,WD,Alloca,60,10800,0,1200,1200,0,0,1200,3,0,3,0,3,1,5,0,1980,0,0,120,0,0,0,0,0,0,2009,179000,22,21,2,2,2,3,2,1
CollgCr,740,60,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,4,WD,Normal,65,9313,0,864,864,864,0,1728,0,0,2,1,3,1,7,0,2004,2,572,187,56,0,0,0,0,0,2009,190000,5,5,3,1,1,3,2,3
OldTown,741,70,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,5,7,Gable,CompShg,Wd Sdng,Wd Shng,None,TA,Gd,BrkTil,Fa,Fa,No,GasA,Ex,Y,null,TA,Typ,NA,Detchd,Unf,TA,Gd,Y,NA,GdPrv,NA,5,WD,Abnorml,60,9600,0,264,768,664,0,1432,0,0,2,0,2,1,7,0,1910,2,360,270,0,112,0,0,0,0,2007,132000,97,5,1,4,2,4,2,1
Sawyer,742,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,1Story,6,8,Hip,CompShg,HdBoard,HdBoard,None,TA,Gd,CBlock,TA,TA,Mn,GasA,Gd,Y,null,Gd,Typ,NA,Detchd,Unf,TA,TA,Y,NA,GdPrv,NA,5,WD,Normal,65,6768,0,912,912,0,0,912,1,1,1,0,3,1,5,0,1962,1,288,168,0,0,0,0,0,0,2008,142000,47,12,3,2,1,2,2,1
SawyerW,743,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,GdPrv,NA,12,WD,Normal,65,8450,108,1349,1349,0,0,1349,0,0,2,0,3,1,6,0,2000,2,539,120,55,0,0,0,0,0,2007,179000,7,6,3,1,1,2,2,3
Sawyer,744,80,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,SLvl,5,6,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,GasA,Ex,Y,null,TA,Min2,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,10,WD,Normal,70,12886,0,520,1464,0,0,1464,0,1,2,0,3,1,6,1,1997,2,480,302,0,0,0,100,0,0,2009,175000,46,10,3,2,1,2,2,1
StoneBr,745,120,RL,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,Gd,TA,No,GasA,Gd,Y,null,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,10,WD,Normal,41,5395,0,1337,1337,0,0,1337,1,0,2,0,2,1,5,1,1993,2,462,96,0,70,168,0,0,0,2008,180000,15,15,3,3,1,1,3,3
NWAmes,746,60,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,9,Hip,CompShg,VinylSd,VinylSd,BrkFace,Ex,Gd,CBlock,TA,Gd,No,GasA,Ex,Y,null,Gd,Typ,TA,BuiltIn,Fin,TA,TA,Y,NA,NA,NA,7,WD,Normal,69,8963,289,1142,1175,1540,0,2715,0,1,3,1,4,1,11,2,1994,2,831,0,204,0,0,0,0,0,2008,299800,32,12,3,2,1,1,3,3
Gilbert,747,60,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,TA,BuiltIn,Fin,TA,TA,Y,NA,NA,NA,4,WD,Normal,69,8795,0,952,980,1276,0,2256,0,0,2,1,4,1,8,1,2000,2,554,224,54,0,0,0,0,0,2009,236000,9,9,3,3,1,4,3,3
OldTown,748,70,RM,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,7,7,Mansard,CompShg,Stucco,Stucco,None,Gd,TA,Stone,TA,Fa,No,GasW,TA,N,null,Gd,Typ,Gd,Detchd,Unf,TA,TA,N,NA,NA,NA,5,WD,Normal,65,11700,0,1240,1320,1320,0,2640,0,0,1,1,4,1,8,1,1950,4,864,181,0,386,0,0,0,0,2009,265979,129,6,1,4,2,4,2,1
NoRidge,749,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,NA,NA,NA,3,WD,Normal,59,10593,338,1720,1720,0,0,1720,1,0,2,0,3,1,7,1,1996,2,527,240,56,154,0,0,0,0,2010,260400,14,14,3,2,1,5,3,3
Edwards,750,50,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,4,3,Gable,CompShg,WdShing,Wd Shng,None,TA,TA,Slab,NA,NA,NA,Wall,TA,N,null,TA,Mod,NA,Detchd,Unf,TA,TA,N,NA,NA,NA,4,WD,Normal,50,8405,0,0,1088,441,0,1529,0,0,2,0,4,1,9,0,1945,1,240,92,0,185,0,0,0,0,2009,98000,64,59,2,2,2,3,2,1
OldTown,751,50,RM,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1.5Fin,4,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,Fa,No,GasA,Gd,Y,null,TA,Min2,NA,NA,NA,NA,NA,N,NA,NA,NA,6,WD,Normal,55,8800,0,576,792,348,0,1140,0,0,1,0,3,1,7,0,1980,0,0,0,160,0,0,0,0,0,2010,96500,100,6,1,4,2,4,2,1
Gilbert,752,60,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,RRAn,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,Fin,TA,TA,Y,NA,NA,NA,8,WD,Normal,69,7750,0,660,660,660,0,1320,0,0,2,1,3,1,6,0,2003,2,400,0,48,0,0,0,0,0,2007,162000,4,4,3,3,1,4,3,3
CollgCr,753,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,PConc,Gd,TA,Gd,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,7,WD,Normal,79,9236,0,1479,1494,0,0,1494,1,0,2,0,3,1,6,0,1997,2,576,168,27,0,0,0,0,0,2006,217000,9,9,3,1,1,3,2,3
NridgHt,754,60,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GasA,Gd,Y,null,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,3,WD,Normal,80,10240,178,1030,1038,1060,0,2098,0,0,2,1,3,1,8,1,2005,3,878,192,52,0,0,0,0,0,2006,275500,1,1,3,3,1,5,3,3
NAmes,755,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,8,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,GasA,Gd,Y,null,Gd,Typ,NA,Detchd,RFn,TA,TA,Y,NA,NA,NA,7,WD,Normal,61,7930,0,1026,1026,0,0,1026,1,0,1,0,3,1,5,0,1969,2,440,171,48,0,0,0,0,0,2009,156000,40,4,3,2,1,4,2,2
Somerst,756,160,FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,2Story,6,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,PConc,Gd,TA,No,GasA,Gd,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,3,WD,Normal,34,3230,894,729,742,729,0,1471,0,0,2,1,3,1,6,0,1999,2,440,0,24,0,0,0,0,0,2009,172500,10,10,2,2,1,5,3,3
CollgCr,757,60,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,4,WD,Normal,68,10769,0,866,866,902,0,1768,0,0,2,1,3,1,7,0,2007,2,578,144,105,0,0,0,0,0,2009,212000,2,2,3,1,1,3,2,3
Sawyer,758,60,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,2Story,6,5,Hip,CompShg,HdBoard,HdBoard,BrkCmn,TA,TA,CBlock,TA,TA,Mn,GasA,TA,Y,null,TA,Typ,TA,Attchd,Fin,TA,TA,Y,NA,GdPrv,NA,4,WD,Abnorml,69,11616,328,672,672,714,0,1386,0,0,2,1,3,1,6,1,1978,2,440,335,0,0,0,0,0,0,2010,158900,32,32,3,2,1,2,2,1
Somerst,759,160,FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,PConc,Gd,TA,No,GasA,Gd,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,8,WD,Normal,24,2280,360,744,757,744,0,1501,0,0,2,1,3,1,6,0,1999,2,440,0,0,0,0,0,0,0,2008,179400,9,9,2,2,1,5,3,3
NoRidge,760,60,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GasA,Ex,Y,null,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,11,WD,Normal,65,12257,513,1318,1328,1203,0,2531,0,0,2,1,4,1,9,1,1995,3,752,222,98,0,0,0,0,0,2007,290000,12,12,3,2,1,5,3,3
NAmes,761,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,GasA,Ex,Y,null,TA,Typ,NA,Detchd,Unf,Ex,Ex,Y,NA,NA,Shed,10,WD,Normal,70,9100,0,864,864,0,0,864,0,0,1,0,2,1,5,0,2008,1,300,0,0,0,0,0,0,450,2009,127500,50,50,3,2,1,4,2,2
BrkSide,762,30,RM,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Feedr,Norm,1Fam,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,Mn,GasA,TA,Y,null,Fa,Min1,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,10,WD,Normal,60,6911,0,1145,1301,0,0,1301,0,0,1,0,2,1,5,0,1965,2,440,0,0,0,0,0,0,0,2009,100000,85,59,3,4,2,4,3,2
Somerst,763,60,FV,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Mn,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,Unf,TA,TA,Y,NA,NA,NA,6,Con,Normal,72,8640,0,756,764,783,0,1547,0,0,2,1,3,1,7,0,2009,2,614,169,45,0,0,0,0,0,2010,215200,1,1,2,2,1,5,3,3
NoRidge,764,60,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GasA,Ex,Y,null,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,7,WD,Normal,82,9430,673,1252,1268,1097,0,2365,1,0,2,1,3,1,8,1,1999,3,856,0,128,0,0,180,0,0,2009,337000,10,10,3,2,1,5,3,3
Veenker,765,120,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,TwnhsE,1Story,8,5,Hip,CompShg,BrkFace,BrkFace,None,Gd,Gd,PConc,Gd,Gd,Av,GasA,Ex,Y,null,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,NA,NA,NA,4,WD,Normal,30,9549,0,1494,1494,0,0,1494,1,0,1,1,2,1,6,1,1995,2,481,0,30,0,0,216,0,0,2006,270000,11,10,1,1,1,2,3,3
Somerst,766,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,9,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,NA,NA,NA,8,New,Partial,75,14587,284,1498,1506,0,0,1506,0,0,2,0,2,1,6,1,2008,2,592,0,174,0,0,0,0,0,2008,264132,0,0,2,2,1,5,3,3
NWAmes,767,60,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,No,GasA,TA,Y,null,TA,Typ,TA,Attchd,Unf,TA,TA,Y,NA,MnPrv,Shed,3,WD,Normal,80,10421,42,980,980,734,0,1714,0,0,2,1,3,1,7,1,1988,2,496,228,66,156,0,0,0,500,2010,196500,22,22,3,2,1,1,3,3
